PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8275346,Vista,Premium ceased,41644,41978,SL,HKD,720,30/04/2014,41978,0,30000,Monthly,42373,42462,25,660000,0,0,0,1091934.29,0,N
8275953,Pacific,In force,42377,31/07/2016,SL,HKD,720,27/07/2016,31/07/2016,0,4637.66,Monthly,43102,27/11/2017,63,78840.3,0,0,0,80962.45,0,N
8278390,Pacific,In force,42016,29/11/2015,SL,HKD,720,15/11/2015,29/11/2015,0,8000,Monthly,43102,42897,66,192000,0,8000,0,234201.36,0,N
8282328,Pacific,In force,42016,29/11/2015,SL,HKD,720,20/11/2015,29/11/2015,0,120000,Annual,43112,42979,67,240000,0,120000,0,295254.15,0,N
8282865,Vista,In force,41644,15/05/2014,SL,HKD,720,41825,15/05/2014,0,67200,Annual,43105,42983,25,268800,0,0,0,360622.04,0,N
8283004,Vista,Premium ceased,41644,41948,SL,HKD,720,26/04/2014,41948,0,10000,Monthly,42373,42135,25,190000,0,0,0,286655.55,0,N
8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43102,42897,25,161600,0,2400,0,245787.58,0,N
8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43102,42897,25,161600,0,2400,0,245787.58,0,N
8286173,Pacific,In force,42378,18/08/2016,SL,USD,90,42529,18/08/2016,0,12000,Annual,43109,22/11/2017,62,187200.09,0,0,0,27329.53,0,N
8287338,Pacific,In force,42016,13/12/2015,SL,HKD,720,28/11/2015,13/12/2015,0,6000,Monthly,43102,42988,67,138000,0,12000,0,158931.4,0,N
8288507,Pacific,In force,42738,19/02/2017,SL,HKD,720,13/01/2017,19/02/2017,0,48000,Annual,43103,16/02/2017,59,48000,0,0,0,46768.87,0,N
8292356,Vista,In force,41645,26/05/2014,SL,HKD,720,18/05/2014,26/05/2014,0,5600,Monthly,43102,43019,25,235200,0,5600,0,328475.18,0,N
8292766,Pacific,In force,42016,13/12/2015,SL,USD,90,42136,13/12/2015,0,3000,Monthly,43102,42897,66,72000,0,3000,0,107490.53,0,N
8292784,Pacific,In force,42016,14/12/2015,SL,HKD,720,42136,14/12/2015,0,6000,Monthly,43102,42897,63,144000,0,6000,0,159404.88,0,N
8292814,Pacific,In force,42016,42289,SL,HKD,720,42197,42289,0,75000,Annual,43112,15/12/2016,64,150000,0,75000,0,172105.37,0,N
8293940,Vista,In force,41645,41735,SL,HKD,720,26/05/2014,41735,0,8000,Monthly,43102,42897,25,361200,0,8000,0,567474.93,0,N
8294308,Vista,In force,41645,30/05/2014,SL,HKD,720,26/05/2014,30/05/2014,0,10000,Monthly,43102,43019,25,620000,0,10000,0,930154.64,0,N
8295277,Pacific,In force,42378,23/08/2016,SL,USD,90,15/08/2016,23/08/2016,0,36000,Annual,43109,42895,75,71999.98,0,0,0,99611.9,0,N
8295304,Pacific,In force,42378,23/08/2016,SL,HKD,720,15/08/2016,23/08/2016,0,4000,Monthly,43102,42897,76,60000,0,4000,0,60785.92,0,N
8295316,Pacific,In force,42378,29/08/2016,SL,HKD,720,15/08/2016,29/08/2016,0,4000,Monthly,43102,42897,76,60000,0,4000,0,61155.99,0,N
8295334,Pacific,Surrendered,42378,24/08/2016,SL,HKD,720,15/08/2016,24/08/2016,0,0,Single Premium,0,42833,76,48000,0,0,0,0,0,N
8297774,Vista,In force,41645,41857,SL,HKD,720,29/05/2014,41857,0,2400,Monthly,43102,42897,25,405600,0,2400,0,675209.67,0,N
8298048,Pacific,In force,42737,42980,SL,HKD,720,25/01/2017,42980,0,72000,Annual,43102,42949,66,72000,0,0,0,81201.79,0,N
8299019,Pacific,In force,42378,24/08/2016,SL,HKD,720,18/08/2016,24/08/2016,0,4000,Monthly,43102,27/11/2017,72,64000,0,0,0,65112.32,0,N
8299868,Pacific,In force,42378,42469,SL,USD,90,23/08/2016,42469,0,12000,Annual,43109,42895,68,23999.99,0,0,0,27239.36,0,N
8300095,Pacific,In force,42378,29/08/2016,SL,HKD,720,24/08/2016,29/08/2016,0,6000,Monthly,43102,42897,61,90000,0,6000,0,103084.83,0,N
8303439,Vista,Premium ceased,41645,18/06/2014,SL,HKD,720,41796,18/06/2014,0,20000,Monthly,42372,30/12/2015,25,380000,0,0,0,654065.51,0,N
8303498,Vista,In force,41645,19/06/2014,SL,HKD,720,31/05/2014,19/06/2014,0,7200,Monthly,43102,42897,25,453600,0,7200,0,666381.8,0,N
8307178,Pacific,In force,42378,42378,SL,USD,90,26/08/2016,42378,0,12000,Annual,43109,22/11/2017,67,23999.99,0,0,0,27384.89,0,N
8307812,Pacific,In force,42378,13/09/2016,SL,USD,90,27/08/2016,13/09/2016,0,1000,Monthly,43102,27/11/2017,64,16000,0,0,0,20078.4,0,N
8307820,Pacific,In force,42378,42469,SL,HKD,720,27/08/2016,42469,0,4000,Monthly,43102,42897,74,60000,0,4000,0,61855.84,0,N
8307828,Pacific,In force,42378,42560,SL,HKD,720,27/08/2016,42560,0,4000,Monthly,43102,42897,74,28000,0,4000,0,27701.69,0,N
8307855,Pacific,In force,42378,13/09/2016,SL,HKD,720,27/08/2016,13/09/2016,0,72000,Annual,43109,42895,62,144000,0,0,0,153615.52,0,N
8309170,Vista,In force,41646,25/06/2014,SL,HKD,720,18/06/2014,25/06/2014,0,18000,Monthly,43102,42897,25,982000,0,18000,0,1454739.8,0,N
8309546,Pacific,In force,42378,13/09/2016,SL,HKD,720,42378,13/09/2016,0,10500,Monthly,43102,42897,68,157500,0,10500,0,201715.99,0,N
8319314,Pacific,In force,42737,24/01/2017,SL,HKD,720,18/09/2016,24/01/2017,0,16000,Monthly,43102,42897,66,160000,0,16000,0,245264.15,0,N
8319322,Pacific,In force,42379,22/09/2016,SL,USD,90,18/09/2016,22/09/2016,0,1000,Monthly,43102,27/11/2017,62,14999.99,0,0,0,18321.5,0,N
8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,390651.71,0,N
8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,390651.71,0,N
8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43102,42897,67,28750,0,1250,0,35147.84,0,N
8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43102,42897,67,28750,0,1250,0,35147.84,0,N
8326264,Pacific,In force,42379,29/09/2016,SL,USD,90,24/09/2016,29/09/2016,0,750,Monthly,43102,26/09/2016,65,8999.99,0,2250,0,10051.64,0,N
8328345,Pacific,In force,42370,31/12/2015,SL,HKD,720,26/12/2015,31/12/2015,0,8000,Monthly,43102,42897,63,184000,0,8000,0,227817.03,0,N
8328415,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,41705,25/07/2014,0,7000,Monthly,42744,42893,25,492000,0,0,0,737329.1,0,N
8332989,Pacific,In force,42379,42531,SL,USD,90,42439,42531,0,12000,Annual,43110,42988,62,23999.99,0,0,0,27324.29,0,N
8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43102,43019,71,10500,0,750,0,11610.38,0,N
8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43102,43019,71,10500,0,750,0,11610.38,0,N
8333357,Pacific,In force,42380,16/10/2016,SL,USD,90,42500,16/10/2016,0,36000,Annual,43111,42897,58,71999.98,0,0,0,99462.62,0,N
8333366,Pacific,In force,42379,42714,SL,USD,90,42500,42714,0,12000,Annual,43110,42988,63,24000,0,0,0,27313.21,0,N
8335128,Vista,In force,41647,24/07/2014,SL,HKD,720,17/07/2014,24/07/2014,0,90000,6 Monthly,43102,42833,25,630000,0,0,0,891437.91,0,N
8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,99377.07,0,N
8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,99377.07,0,N
8335446,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,15/07/2014,25/07/2014,0,7000,Monthly,42373,42462,25,133000,0,0,0,225806.84,0,N
8336686,Pacific,In force,42738,28/02/2017,SL,USD,90,21/02/2017,28/02/2017,0,9000,Annual,43103,27/02/2017,66,9000,0,0,0,10158.36,0,N
8337155,Vista,In force,41647,22/07/2014,SL,HKD,720,41980,22/07/2014,0,2400,Monthly,43102,42897,25,232800,0,2400,0,382495.7,0,N
8337253,Vista,In force,41647,22/07/2014,SL,HKD,720,41980,22/07/2014,0,7500,Monthly,43102,43019,15,300000,0,7500,0,382250.58,0,N
8339097,Pacific,In force,42380,16/10/2016,SL,USD,90,42561,16/10/2016,0,1500,Monthly,43102,42561,64,17999.99,0,3000,0,22867.62,0,N
8347784,Pacific,In force,42380,27/10/2016,SL,HKD,720,19/10/2016,27/10/2016,0,32000,Monthly,43102,42897,61,416000,0,32000,0,713647.93,0,N
8347792,Pacific,In force,42380,31/10/2016,SL,HKD,720,19/10/2016,31/10/2016,0,32000,Monthly,43102,42897,64,416000,0,32000,0,713288.94,0,N
8348381,Pacific,In force,42380,42532,SL,USD,90,20/10/2016,42532,0,36000,Annual,43111,42897,64,71999.97,0,0,0,99140.9,0,N
8349637,Pacific,In force,42380,30/10/2016,SL,USD,90,25/10/2016,30/10/2016,0,6600,Annual,43111,25/10/2016,65,6600,0,6600,0,6477.29,0,N
8351994,Pacific,In force,42380,42654,SL,USD,90,28/10/2016,42654,0,6000,Annual,43111,28/10/2016,63,6000,0,6000,0,5765.14,0,N
8351994,Pacific,In force,42380,42654,SL,USD,90,28/10/2016,42654,0,6000,Annual,43111,28/10/2016,63,6000,0,6000,0,5765.14,0,N
8352316,Vista,Premium ceased,41648,14/09/2014,SL,HKD,720,13/08/2014,14/09/2014,0,5600,Monthly,42373,25/01/2016,25,100800,0,0,0,175448.72,0,N
8354241,Pacific,In force,42380,42532,SL,USD,90,29/10/2016,42532,0,750,Monthly,43102,27/11/2017,65,10500,0,0,0,11586.93,0,N
8358323,Vista,Premium ceased,41648,31/08/2014,SL,HKD,720,21/08/2014,31/08/2014,0,32500,Monthly,42374,42462,25,585000,0,0,0,1015486.83,0,N
8362772,Vista,Lapse,41648,41648,SL,HKD,720,20/08/2014,41648,0,0,Single Premium,0,41648,25,5600,0,0,0,0,0,N
8363274,Pacific,In force,42372,21/02/2016,SL,HKD,720,42462,21/02/2016,0,4200,Monthly,43102,27/11/2017,63,92400,0,0,0,95405.84,0,N
8363282,Pacific,Premium ceased,42372,23/02/2016,SL,HKD,720,42462,23/02/2016,0,6000,Monthly,42746,24/05/2017,64,90000,0,0,0,100041.53,0,N
8367490,Pacific,In force,42372,24/02/2016,SL,HKD,720,15/02/2016,24/02/2016,0,6000,Monthly,43102,42897,58,126000,0,6000,0,141991.19,0,N
8374085,Vista,In force,41649,23/09/2014,SL,HKD,720,14/09/2014,23/09/2014,0,2400,Monthly,43102,42897,25,644100,0,2400,0,1108415.91,0,N
8374551,Pacific,In force,42372,42646,SL,HKD,720,23/02/2016,42646,0,4000,Monthly,43102,42897,70,84000,0,4000,0,86502.69,0,N
8374932,Vista,In force,41649,28/09/2014,SL,HKD,720,21/08/2014,28/09/2014,0,5600,Monthly,43102,27/11/2017,25,218400,0,0,0,310245.96,0,N
8377093,Vista,In force,41649,25/09/2014,SL,HKD,720,18/09/2014,25/09/2014,0,10000,Monthly,43102,42897,25,798000,0,10000,0,1288899,0,N
8380247,Vista,In force,41650,41740,SL,HKD,720,41952,41740,0,2400,Monthly,43102,42897,25,157200,0,2400,0,241475.03,0,N
8380330,Pacific,In force,42374,19/04/2016,SL,HKD,720,42403,19/04/2016,0,10000,Monthly,43102,42897,64,190000,0,10000,0,234557.06,0,N
8380353,Vista,In force,41651,18/11/2014,SL,HKD,720,19/09/2014,18/11/2014,0,16000,Monthly,43102,42897,25,576000,0,16000,0,842594.12,0,N
8383517,Pacific,In force,42381,15/12/2016,SL,USD,90,27/11/2016,15/12/2016,0,516,Monthly,43102,42897,75,6192,0,516,0,6269.44,0,N
8383885,Pacific,In force,42373,42708,SL,HKD,720,42493,42708,0,24000,Monthly,43102,42897,62,479800,0,24000,0,735671.82,0,N
8387438,Vista,In force,41649,41830,SL,USD,90,26/09/2014,41830,0,8700,Annual,43110,42988,25,34799.99,0,0,0,48215.56,0,N
8389395,Pacific,In force,42373,42433,SL,HKD,720,18/03/2016,42433,0,18000,Monthly,43102,42897,67,360000,0,18000,0,491831.81,0,N
8392086,Pacific,In force,42374,42648,SL,HKD,720,29/03/2016,42648,0,216000,Annual,43105,42983,59,432000,0,0,0,564513.16,0,N
8392086,Pacific,In force,42374,42648,SL,HKD,720,29/03/2016,42648,0,216000,Annual,43105,42983,59,432000,0,0,0,564513.16,0,N
8399878,Vista,In force,41650,16/10/2014,SL,HKD,720,41922,16/10/2014,0,10000,Monthly,43102,13/10/2017,25,920000,0,20000,0,1415832.63,0,N
8399970,Pacific,In force,42381,42563,SL,USD,90,42381,42563,0,12000,Annual,43112,42533,57,12000,0,12000,0,15587.87,0,N
9835607,Vista,Lapse,40182,40486,SL,HKD,720,30/01/2010,40425,0,0,Single Premium,0,40703,25,43200,0,0,0,0,0,N
9840568,Vista,In force,40180,18/02/2010,SL,HKD,720,40331,17/02/2010,0,3500,Monthly,43102,42897,25,329000,0,3500,0,256091.11,0,N
9843770,Vista,Premium ceased,40180,28/02/2010,SL,HKD,720,40423,26/02/2010,0,2400,Monthly,42740,22/03/2017,25,177600,0,0,0,129148.24,0,N
9843770,Vista,Premium ceased,40180,28/02/2010,SL,HKD,720,40423,26/02/2010,0,2400,Monthly,42740,22/03/2017,25,177600,0,0,0,129148.24,0,N
9860437,Vista,In force,40181,28/02/2010,SL,HKD,720,20/02/2010,25/02/2010,0,2400,Monthly,43102,42897,25,223200,0,2400,0,255202.55,0,N
9861620,Vista,In force,40181,40212,JLFD,HKD,720,17/02/2010,40181,0,15000,Monthly,43102,43019,25,531000,0,15000,0,592481.73,0,N
9861620,Vista,In force,40181,40212,JLFD,HKD,720,17/02/2010,40181,0,15000,Monthly,43102,43019,25,531000,0,15000,0,592481.73,0,N
9861620,Vista,In force,40181,40212,JLFD,HKD,720,17/02/2010,40181,0,15000,Monthly,43102,43019,25,531000,0,15000,0,592481.73,0,N
9865684,Vista,In force,40181,28/03/2010,SL,HKD,720,23/02/2010,25/03/2010,0,10000,Monthly,43102,42897,25,588000,0,10000,0,783482.51,0,N
9865808,Vista,Premium ceased,40181,40271,JLFD,HKD,720,23/02/2010,40240,0,2400,Monthly,42373,16/02/2016,25,93600,0,0,0,104505.95,0,N
9865808,Vista,Premium ceased,40181,40271,JLFD,HKD,720,23/02/2010,40240,0,2400,Monthly,42373,16/02/2016,25,93600,0,0,0,104505.95,0,N
9918958,Vista,In force,40183,29/04/2010,SL,HKD,720,40363,29/04/2010,0,15000,Monthly,43102,42897,16,1365000,0,15000,0,972561.3,0,N
9954377,Vista,In force,40183,29/04/2010,SL,HKD,720,23/04/2010,29/04/2010,0,5600,Monthly,43102,42897,25,364000,0,5600,0,410672.72,0,N
9965607,Vista,In force,40179,40513,SL,HKD,720,29/12/2009,40483,0,5600,Monthly,43102,42897,25,497400,0,5600,0,515671.51,0,N
9966107,Vista,Premium ceased,40179,14/01/2010,SL,HKD,720,29/12/2009,13/01/2010,0,3000,Monthly,42373,42552,25,423000,0,0,0,610049.36,0,N
9966119,Vista,Premium ceased,40179,40483,SL,HKD,720,29/12/2009,40483,0,5600,Monthly,43101,42897,25,416300,0,0,0,414579.91,0,N
